,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
894,Billy Joel9,Billy Joel,New York,Madison Square Garden,Billy Joel - In Concert,Rock,1,4,220.5,69.5,G5diZ99G8-dZW,76,6824.0
895,Billy Joel10,Billy Joel,New York,Madison Square Garden,Billy Joel - In Concert,Rock,0,2,220.5,69.5,G5diZ9fAHq8U9,76,1605.0
896,Billy Joel11,Billy Joel,Niagara Falls,OLG Stage at Fallsview Casino,Billy Joel,Rock,1,2,649.75,197.75,G5vZZ9pJVbvI-,76,3426354.0
897,Billy Joel14,Billy Joel,Aberdeen,Aberdeen Music Hall,The Billy Joel Songbook,Pop,0,1,32.95,23.95,G5dbZ9ArAY-FD,76,119192.0
898,Billy Joel16,Billy Joel,New York,Madison Square Garden,Billy Joel - In Concert,Rock,0,5,225.5,69.5,G5diZ9bLFZviP,76,3155.0
899,Billy Joel17,Billy Joel,Philadelphia,Lincoln Financial Field,Billy Joel and Stevie Nicks,Rock,0,6,380.0,95.0,vvG1FZ94kqj-DA,76,1695.0
900,Billy Joel18,Billy Joel,Foxborough,Gillette Stadium,Billy Joel and Stevie Nicks,Rock,1,9,379.5,59.5,vvG17Z9bpjD-NT,76,1024027.0
901,Backstreet Boys0,Backstreet Boys,Auckland,Spark Arena,Backstreet Boys: DNA World Tour,Rock,1,3,239.8,91.2,1Ae8Z4wGklYHN-Z,76,1013.0
902,Backstreet Boys1,Backstreet Boys,Cleveland Heights,B Side Lounge,Kiss Me At Midnight NSYNC vs. Backstreet Boys,Pop,0,12,8.0,8.0,rZ7HnEZ1A3jf74,76,59302.0
903,Backstreet Boys2,Backstreet Boys,Tampa,Amalie Arena,93.3 FLZ's Jingle Ball Presented By Capital One,Rock,0,12,261.0,25.0,vvG1VZ9KD7nG7z,76,270934.0
904,Backstreet Boys3,Backstreet Boys,Sunrise,FLA Live Arena,Y100s Jingle Ball Presented By Capital One,Rock,1,12,501.0,35.0,vvG1VZ93D8YHIG,76,112011.0
905,Macklemore & Ryan Lewis3,Macklemore & Ryan Lewis,Dublin,3Arena,Macklemore: The Ben Tour,Hip-Hop/Rap,0,4,65.15,54.0,G5vOZ9pp3EZM2,77,6063.0
906,Macklemore & Ryan Lewis4,Macklemore & Ryan Lewis,Dublin,3Arena,Macklemore: The Ben Tour,Hip-Hop/Rap,0,4,65.15,54.0,G5vOZ9pp3E8MS,77,13252.0
